seq_name	chromosome_score	plasmid_score	virus_score
JAYIVN010000001.1	0.4543	0.5098	0.0359
JAYIVN010000002.1	0.4716	0.4872	0.0412
JAYIVN010000003.1	0.4915	0.4867	0.0218
JAYIVN010000004.1	0.4883	0.5005	0.0112
JAYIVN010000005.1	0.4124	0.5575	0.0300
JAYIVN010000006.1	0.4207	0.5391	0.0402
JAYIVN010000007.1	0.4764	0.5053	0.0183
JAYIVN010000008.1	0.4422	0.5320	0.0258
JAYIVN010000009.1	0.4873	0.4986	0.0141
JAYIVN010000010.1	0.3916	0.5699	0.0385
JAYIVN010000011.1	0.4063	0.5727	0.0210
JAYIVN010000012.1	0.3802	0.5796	0.0402
JAYIVN010000013.1	0.4428	0.5180	0.0391
JAYIVN010000014.1	0.3658	0.6022	0.0320
JAYIVN010000015.1	0.4867	0.4396	0.0737
JAYIVN010000016.1	0.4775	0.5148	0.0077
JAYIVN010000017.1	0.4145	0.5619	0.0235
JAYIVN010000018.1	0.5216	0.4300	0.0484
JAYIVN010000019.1	0.4916	0.4938	0.0146
JAYIVN010000020.1	0.4220	0.5696	0.0084
JAYIVN010000021.1	0.4569	0.5073	0.0358
JAYIVN010000022.1	0.4144	0.5274	0.0582
JAYIVN010000023.1	0.5773	0.3582	0.0646
JAYIVN010000024.1	0.4492	0.5265	0.0243
JAYIVN010000025.1	0.5221	0.4011	0.0768
JAYIVN010000026.1	0.3917	0.5565	0.0518
JAYIVN010000027.1	0.5231	0.4557	0.0212
JAYIVN010000028.1	0.2290	0.6199	0.1510
JAYIVN010000029.1	0.4203	0.5320	0.0478
JAYIVN010000030.1	0.1977	0.5975	0.2048
JAYIVN010000031.1	0.4829	0.4842	0.0329
JAYIVN010000032.1	0.4522	0.5435	0.0042
JAYIVN010000033.1	0.4296	0.5459	0.0245
JAYIVN010000034.1	0.5041	0.4674	0.0285
JAYIVN010000035.1	0.4832	0.5052	0.0116
JAYIVN010000036.1	0.3981	0.5439	0.0581
JAYIVN010000037.1	0.3202	0.6640	0.0158
JAYIVN010000038.1	0.4860	0.4840	0.0300
JAYIVN010000039.1	0.5671	0.4064	0.0265
JAYIVN010000040.1	0.4951	0.4805	0.0244
JAYIVN010000041.1	0.2053	0.6869	0.1078
JAYIVN010000042.1	0.4724	0.4878	0.0398
JAYIVN010000043.1	0.0115	0.8067	0.1818
JAYIVN010000044.1	0.4152	0.5759	0.0089
JAYIVN010000045.1	0.4334	0.5524	0.0142
JAYIVN010000046.1	0.4964	0.4632	0.0404
JAYIVN010000047.1	0.4823	0.5091	0.0085
JAYIVN010000048.1	0.4269	0.5712	0.0019
JAYIVN010000049.1	0.3694	0.5925	0.0382
JAYIVN010000050.1	0.3815	0.5816	0.0369
JAYIVN010000051.1	0.5338	0.4569	0.0093
JAYIVN010000052.1	0.4859	0.4455	0.0686
JAYIVN010000053.1	0.1888	0.5619	0.2494
JAYIVN010000054.1	0.0668	0.6018	0.3314
JAYIVN010000055.1	0.6866	0.1509	0.1625
JAYIVN010000056.1	0.5188	0.4627	0.0185
JAYIVN010000057.1	0.0946	0.8380	0.0675
JAYIVN010000058.1	0.1753	0.7903	0.0343
JAYIVN010000059.1	0.4720	0.5244	0.0037
JAYIVN010000060.1	0.4346	0.5580	0.0074
JAYIVN010000061.1	0.7062	0.2570	0.0368
JAYIVN010000062.1	0.1170	0.7629	0.1201
JAYIVN010000063.1	0.1992	0.7199	0.0809
JAYIVN010000064.1	0.2437	0.6976	0.0587
JAYIVN010000065.1	0.3010	0.6902	0.0089
JAYIVN010000066.1	0.0634	0.6976	0.2390
JAYIVN010000067.1	0.2135	0.7829	0.0036
JAYIVN010000068.1	0.1548	0.8310	0.0142
JAYIVN010000069.1	0.8228	0.1664	0.0108
JAYIVN010000070.1	0.1317	0.7643	0.1041
JAYIVN010000071.1	0.1591	0.7576	0.0834
JAYIVN010000072.1	0.1591	0.7686	0.0723
JAYIVN010000073.1	0.6765	0.2328	0.0907
JAYIVN010000074.1	0.3378	0.3418	0.3203
JAYIVN010000075.1	0.3654	0.5803	0.0543
JAYIVN010000076.1	0.6795	0.1982	0.1223
JAYIVN010000077.1	0.3494	0.3977	0.2529
JAYIVN010000078.1	0.8033	0.1885	0.0082
JAYIVN010000079.1	0.3152	0.5865	0.0983
JAYIVN010000080.1	0.1950	0.5095	0.2955
JAYIVN010000081.1	0.3557	0.5091	0.1352
JAYIVN010000082.1	0.4366	0.3939	0.1695
JAYIVN010000083.1	0.1960	0.0523	0.7517
JAYIVN010000084.1	0.1135	0.3066	0.5798
JAYIVN010000085.1	0.3299	0.5036	0.1665
JAYIVN010000086.1	0.6647	0.3241	0.0112
JAYIVN010000087.1	0.1753	0.5640	0.2607
JAYIVN010000088.1	0.4025	0.4080	0.1895
JAYIVN010000089.1	0.2951	0.6209	0.0840
JAYIVN010000090.1	0.5845	0.3038	0.1117
JAYIVN010000091.1	0.5282	0.3893	0.0825
JAYIVN010000092.1	0.4625	0.3779	0.1596
JAYIVN010000093.1	0.2646	0.4088	0.3266
JAYIVN010000094.1	0.4679	0.3553	0.1768
JAYIVN010000095.1	0.3240	0.1749	0.5011
JAYIVN010000096.1	0.1750	0.3515	0.4735
JAYIVN010000097.1	0.3193	0.0832	0.5975
JAYIVN010000098.1	0.2167	0.4771	0.3062
JAYIVN010000099.1	0.6059	0.1470	0.2470
JAYIVN010000100.1	0.6126	0.2056	0.1818
JAYIVN010000101.1	0.2224	0.1228	0.6548
JAYIVN010000102.1	0.0952	0.1018	0.8030
JAYIVN010000103.1	0.1067	0.0855	0.8078
JAYIVN010000104.1	0.7411	0.1802	0.0787
JAYIVN010000105.1	0.1193	0.0802	0.8005
