sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
JAYIPP010000001.1_RM_Type_I_15	RM	RM_Type_I	Defense	JAYIPP010000001.1_74	JAYIPP010000001.1_77	JAYIPP010000001.1_74,JAYIPP010000001.1_76,JAYIPP010000001.1_77	3	RM__Type_I_MTases_FAM_3,RM__Type_I_REases_FAM_1.einsi_trimmed,RM__Type_I_S_52
JAYIPP010000002.1_RM_Type_IV_13	RM	RM_Type_IV	Defense	JAYIPP010000002.1_96	JAYIPP010000002.1_97	JAYIPP010000002.1_96,JAYIPP010000002.1_97	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
JAYIPP010000003.1_RM_Type_I_17	RM	RM_Type_I	Defense	JAYIPP010000003.1_130	JAYIPP010000003.1_133	JAYIPP010000003.1_130,JAYIPP010000003.1_131,JAYIPP010000003.1_133	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
JAYIPP010000007.1_PrrC_18	PrrC	PrrC	Defense	JAYIPP010000007.1_75	JAYIPP010000007.1_80	JAYIPP010000007.1_75,JAYIPP010000007.1_76,JAYIPP010000007.1_78,JAYIPP010000007.1_80	4	PrrC__PrrC,RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_04
JAYIPP010000008.1_Zorya_TypeIII_6	Zorya	Zorya_TypeIII	Defense	JAYIPP010000008.1_18	JAYIPP010000008.1_21	JAYIPP010000008.1_18,JAYIPP010000008.1_19,JAYIPP010000008.1_21	3	Zorya_III__ZorF3,Zorya_III__ZorG3,Zorya__ZorB
JAYIPP010000010.1_SoFic_11	SoFIC	SoFic	Defense	JAYIPP010000010.1_37	JAYIPP010000010.1_37	JAYIPP010000010.1_37	1	SoFic__SoFic
JAYIPP010000022.1_Gabija_3	Gabija	Gabija	Defense	JAYIPP010000022.1_51	JAYIPP010000022.1_52	JAYIPP010000022.1_51,JAYIPP010000022.1_52	2	Gabija__GajA,Gabija__GajB_2
JAYIPP010000022.1_AbiH_2	AbiH	AbiH	Defense	JAYIPP010000022.1_64	JAYIPP010000022.1_64	JAYIPP010000022.1_64	1	AbiH__AbiH
JAYIPP010000032.1_AbiV_9	AbiV	AbiV	Defense	JAYIPP010000032.1_3	JAYIPP010000032.1_3	JAYIPP010000032.1_3	1	AbiV__AbiV
JAYIPP010000042.1_Wadjet_I_8	Wadjet	Wadjet_I	Defense	JAYIPP010000042.1_5	JAYIPP010000042.1_8	JAYIPP010000042.1_5,JAYIPP010000042.1_7,JAYIPP010000042.1_8	3	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I
JAYIPP010000043.1_SoFic_10	SoFIC	SoFic	Defense	JAYIPP010000043.1_9	JAYIPP010000043.1_9	JAYIPP010000043.1_9	1	SoFic__SoFic
JAYIPP010000061.1_HEC-09_12	HEC-09	HEC-09	Defense	JAYIPP010000061.1_9	JAYIPP010000061.1_9	JAYIPP010000061.1_9	1	HEC-09__HEC-09
JAYIPP010000068.1_RM_Type_III_20	RM	RM_Type_III	Defense	JAYIPP010000068.1_7	JAYIPP010000068.1_8	JAYIPP010000068.1_7,JAYIPP010000068.1_8	2	RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed
JAYIPP010000075.1_Shango_4	Shango	Shango	Defense	JAYIPP010000075.1_4	JAYIPP010000075.1_5	JAYIPP010000075.1_4,JAYIPP010000075.1_5	2	Shango__SngA,Shango__SngB
JAYIPP010000076.1_Gao_Her_SIR_1	Gao_Her	Gao_Her_SIR	Defense	JAYIPP010000076.1_2	JAYIPP010000076.1_3	JAYIPP010000076.1_2,JAYIPP010000076.1_3	2	Gao_Her_SIR__HerA_SIR2,Gao_Her_SIR__SIR2
JAYIPP010000077.1_Thoeris_IV_5	Thoeris	Thoeris_IV	Defense	JAYIPP010000077.1_1	JAYIPP010000077.1_2	JAYIPP010000077.1_1,JAYIPP010000077.1_2	2	Thoeris_IV__ThsA_Casp4,Thoeris__ThsB_Global
