hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
JBEGEP010000001.1_6	JBEGEP010000001.1	6	659	UG35__UvrD	2.8e-83	278.3	0.515	0.634	4	421
JBEGEP010000001.1_6	JBEGEP010000001.1	6	659	Gabija__GajB_2	4.6e-96	320.6	0.775	0.962	4	637
JBEGEP010000001.1_32	JBEGEP010000001.1	32	268	Retron_VII_2__DUF3800	9.9e-13	46.7	0.972	0.746	17	216
JBEGEP010000001.1_123	JBEGEP010000001.1	123	473	DISARM__drmC	8e-17	59.6	0.566	0.298	294	434
JBEGEP010000001.1_125	JBEGEP010000001.1	125	724	Gabija__GajB_3	5e-13	47.0	0.654	0.378	21	294
JBEGEP010000001.1_125	JBEGEP010000001.1	125	724	Gabija__GajB_1	4.1e-34	116.2	0.916	0.834	13	616
JBEGEP010000001.1_125	JBEGEP010000001.1	125	724	UG35__UvrD	2e-77	259.0	0.534	0.601	4	438
JBEGEP010000001.1_125	JBEGEP010000001.1	125	724	Gabija__GajB_2	2.6e-103	344.5	0.777	0.88	1	637
JBEGEP010000001.1_129	JBEGEP010000001.1	129	338	CBASS__Phospholipase	8.1e-52	174.5	0.885	0.944	2	320
JBEGEP010000001.1_136	JBEGEP010000001.1	136	934	UG9__DNA_pol	8.7e-32	108.6	0.678	0.403	531	906
JBEGEP010000010.1_70	JBEGEP010000010.1	232	299	Ukko__UkkD2	1.3e-60	203.0	0.947	0.88	20	282
JBEGEP010000010.1_70	JBEGEP010000010.1	232	299	Ukko__UkkD1	1.3e-60	203.0	0.947	0.88	20	282
JBEGEP010000103.1_9	JBEGEP010000103.1	280	366	Gabija__GajB_3	2.1999999999999998e-114	380.4	0.969	0.932	7	347
JBEGEP010000103.1_10	JBEGEP010000103.1	281	297	Gabija__GajA	4.5000000000000005e-26	89.7	0.408	0.859	11	265
JBEGEP010000132.1_3	JBEGEP010000132.1	662	176	DS-5__DS-5A	1.7e-63	211.1	0.952	0.903	14	172
JBEGEP010000133.1_2	JBEGEP010000133.1	665	366	Gabija__GajB_3	1.8e-113	377.4	0.969	0.932	7	347
JBEGEP010000014.1_2	JBEGEP010000014.1	682	582	RM__Type_I_REases_FAM_2.einsi_trimmed	1.4999999999999998e-94	315.9	0.621	0.948	23	574
JBEGEP010000014.1_6	JBEGEP010000014.1	686	979	RM_Type_II__Type_II_MTases_FAM_1	9.9e-12	42.9	0.458	0.162	162	320
JBEGEP010000014.1_6	JBEGEP010000014.1	686	979	RM_Type_II__Type_II_MTases_FAM_3	1.1000000000000001e-20	72.3	0.907	0.373	159	523
JBEGEP010000014.1_6	JBEGEP010000014.1	686	979	RM_Type_III__Type_III_MTases_FAM_0	1.6e-106	355.7	0.983	0.883	1	864
JBEGEP010000014.1_9	JBEGEP010000014.1	689	693	Gabija__GajB_3	2.8e-10	37.9	0.596	0.364	425	676
JBEGEP010000014.1_9	JBEGEP010000014.1	689	693	Gabija__GajB_2	1.7000000000000002e-46	156.9	0.746	0.678	210	679
JBEGEP010000017.1_43	JBEGEP010000017.1	934	503	RM_Type_II__Type_II_MTases_FAM_29	4.7e-06	23.4	0.418	0.487	165	409
JBEGEP010000017.1_43	JBEGEP010000017.1	934	503	RM_Type_II__Type_II_MTases_FAM_14	1.8e-13	47.7	0.433	0.481	176	417
JBEGEP010000017.1_43	JBEGEP010000017.1	934	503	RM_Type_II__Type_II_MTases_FAM_13	1.7e-13	48.0	0.412	0.481	158	399
JBEGEP010000017.1_43	JBEGEP010000017.1	934	503	RM_Type_II__Type_II_MTases_FAM_6	1.6e-16	58.1	0.441	0.487	177	421
JBEGEP010000017.1_43	JBEGEP010000017.1	934	503	RM_Type_II__Type_II_MTases_FAM_33	2.6e-38	130.0	0.451	0.477	159	398
JBEGEP010000017.1_43	JBEGEP010000017.1	934	503	RM__Type_I_MTases_FAM_1	3.1e-56	188.9	0.745	0.72	133	494
JBEGEP010000017.1_43	JBEGEP010000017.1	934	503	RM__Type_I_MTases_FAM_3	4e-60	201.7	0.733	0.92	10	472
JBEGEP010000017.1_43	JBEGEP010000017.1	934	503	PrrC__EcoprrI	3.2e-96	321.6	0.958	0.994	1	500
JBEGEP010000017.1_43	JBEGEP010000017.1	934	503	RM__Type_I_MTases_FAM_0	1.2e-167	556.9	0.992	0.99	4	501
JBEGEP010000017.1_46	JBEGEP010000017.1	937	266	RM__Type_I_S_04	5.3000000000000005e-36	122.7	0.502	0.97	3	260
JBEGEP010000017.1_46	JBEGEP010000017.1	937	266	RM__Type_I_S_51	4.4e-52	175.0	0.536	0.985	2	263
JBEGEP010000017.1_47	JBEGEP010000017.1	938	1097	RM__Type_I_REases_FAM_0.einsi_trimmed	1.3999999999999998e-228	759.8	0.98	0.964	10	1067
JBEGEP010000018.1_32	JBEGEP010000018.1	974	542	Thoeris_IV__ThsA_Casp4	2e-14	51.8	0.417	0.24	4	133
JBEGEP010000020.1_10	JBEGEP010000020.1	1222	366	Zorya__ZorB	2.3e-05	21.8	0.449	0.298	254	362
JBEGEP010000021.1_22	JBEGEP010000021.1	1308	529	DRT2__RmuC	1e-06	25.5	0.692	0.635	130	465
JBEGEP010000021.1_40	JBEGEP010000021.1	1326	1370	Gabija__GajB_2	3.4e-34	116.3	0.625	0.54	190	929
JBEGEP010000022.1_8	JBEGEP010000022.1	1346	80	Phrann_gp29_gp30__gp30	2.1e-08	32.1	0.824	0.8	3	66
JBEGEP010000023.1_22	JBEGEP010000023.1	1414	862	Dodola__DolB	3.8999999999999995e-22	76.8	0.595	0.276	486	723
JBEGEP010000024.1_44	JBEGEP010000024.1	1477	415	Dnd__DndA	5.5e-35	119.0	0.865	0.819	34	373
JBEGEP010000025.1_31	JBEGEP010000025.1	1525	824	Dodola__DolB	4.5e-10	37.1	0.411	0.203	310	476
JBEGEP010000025.1_38	JBEGEP010000025.1	1532	245	DEDDh_I_II_III_IV_V_VI_1	1.6e-35	120.6	0.994	0.665	4	166
JBEGEP010000025.1_56	JBEGEP010000025.1	1550	221	WYL_I_II_III_IV_V_VI_4	2.8e-11	41.8	0.488	0.394	55	141
JBEGEP010000026.1_21	JBEGEP010000026.1	1571	318	Ukko__UkkC2	1.1999999999999998e-53	180.6	0.974	0.953	6	308
