scaffold	id	begin	end	transposable	taxonomy	vog
JAYIUD010000001.1	JAYIUD010000001.1_prophage1	398270	430347	False	Myoviridae	VOG9856, VOG0248, VOG6396, VOG0985, VOG4571, VOG4556, VOG3897, VOG0566, VOG0764, VOG0567, VOG0568, VOG0569, VOG2388, VOG2125, VOG3721, VOG4437, VOG0571, VOG0572, VOG4691, VOG0574, VOG7440, VOG0573, VOG4550, VOG0356, VOG0577, VOG4630, VOG4781, VOG4545, VOG4736, VOG0582, VOG8909, VOG0583
JAYIUD010000021.1	JAYIUD010000021.1_prophage1	36826	49049	False	Podoviridae	VOG0275, VOG10953, VOG0982, VOG4714, VOG4571, VOG5148, VOG0038
JAYIUD010000008.1	JAYIUD010000008.1_prophage1	4652	16408	False	Inoviridae	VOG0013, VOG0001, VOG6824, VOG7433, VOG4430, VOG4355, VOG4757, VOG2013, VOG2013, VOG7015, VOG4757, VOG4355, VOG4430, VOG7433, VOG6824, VOG0001, VOG2233
